AWARD_NUMBER AWARD_NUMBER AWARD_ID               AWARD_ID               
------------ ------------ ---------------------- ---------------------- 
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001308-00001 000000-00000 9550                   9550                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001448-00001 000000-00000 13612                  13612                  
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001302-00001 000000-00000 9299                   9299                   
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001845-00001 000000-00000 28989                  28989                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001794-00001 000000-00000 26155                  26155                  
001813-00001 000000-00000 27314                  27314                  
001813-00001 000000-00000 27314                  27314                  
001813-00001 000000-00000 27314                  27314                  
001813-00001 000000-00000 27314                  27314                  
